student_id,marks,study_hours_per_week,attendance_percent,previous_year_marks,assignments_submitted,extracurricular_score,parental_education_level,school_type,result
1,69,1.55,95,76,9,7,2,public,0
2,58,0.43,99,45,2,3,0,private,0
3,72,0.3,90,70,4,0,2,public,0
4,87,0.4,77,84,5,3,1,public,0
5,56,3.5,82,60,7,5,2,private,0
6,56,0.21,87,63,4,1,3,private,0
7,88,1.64,92,63,8,4,2,private,1
8,74,5.6,71,77,4,9,1,private,1
9,52,1.39,92,45,5,5,2,public,0
10,70,5.76,92,76,4,1,2,private,0
11,52,5.47,80,34,9,2,2,public,1
12,52,1.13,87,62,2,0,2,public,0
13,64,5.22,88,57,8,8,2,private,1
14,26,5.51,81,22,2,4,2,public,0
15,29,2.03,78,45,4,4,1,private,1
16,50,0.95,81,49,4,4,3,private,0
17,42,2.95,81,52,5,6,3,private,1
18,66,10.17,90,66,10,2,2,private,1
19,44,4.08,86,61,5,9,4,public,0
20,35,0.76,88,38,7,7,3,public,0
21,86,4.59,82,91,6,0,3,private,0
22,56,2.23,55,58,8,10,3,public,1
23,61,3.58,80,58,5,4,4,private,0
24,34,5.3,63,43,10,6,1,private,0
25,50,2.89,88,43,3,2,1,private,1
26,62,6.73,92,69,6,10,3,public,0
27,39,5.12,88,49,9,1,2,private,0
28,67,3.82,88,72,10,4,2,private,0
29,49,0.65,87,40,9,10,4,public,0
30,55,7.23,93,59,6,5,2,private,0
31,49,10.99,75,59,4,1,1,private,0
32,93,0.59,83,80,9,3,1,private,0
33,60,2.68,96,45,10,8,2,private,1
34,41,1.2,91,49,7,5,0,private,1
35,75,5.62,89,69,5,7,4,public,1
36,38,5.12,89,45,7,6,1,private,0
37,64,0.61,72,81,4,2,2,private,0
38,25,8.38,92,10,10,10,2,public,0
39,36,0.8,81,20,7,3,2,public,0
40,64,6.38,89,72,10,4,3,private,1
41,73,2.44,82,86,10,10,2,private,1
42,63,1.59,99,80,9,3,1,private,0
43,58,0.69,73,66,7,5,1,public,1
44,55,0.73,83,54,6,10,2,private,0
45,33,4.34,95,34,6,1,1,public,0
46,47,3.2,86,50,4,8,2,private,0
47,52,0.52,84,69,7,8,4,public,1
48,79,0.48,94,82,3,0,3,private,0
49,66,0.3,83,59,6,9,4,public,1
50,28,5.45,82,30,4,3,2,private,0
51,66,4.98,83,50,10,2,2,public,0
52,53,0.24,75,47,7,4,2,private,0
53,48,3.29,95,45,3,5,1,private,1
54,71,0.35,95,67,8,6,1,private,1
55,79,9.36,89,63,4,1,2,private,1
56,77,9.51,78,65,4,5,1,private,1
57,45,4.79,96,45,5,2,1,public,0
58,54,10.42,91,62,10,6,4,public,0
59,66,6.67,97,62,6,1,1,public,1
60,78,7.05,83,79,6,10,1,private,0
61,51,3.37,89,60,6,1,1,private,1
62,57,1.46,95,84,8,9,0,private,0
63,40,0.98,98,37,10,5,1,private,0
64,38,1.59,74,30,9,2,1,private,0
65,75,3.96,100,83,5,2,3,private,0
66,84,0.76,99,93,5,10,1,private,0
67,59,1.2,91,46,6,0,1,private,0
68,78,2.52,90,67,7,9,4,public,0
69,67,1.06,80,53,4,2,0,public,0
70,48,3.55,91,41,10,10,0,public,0
71,67,10.26,76,76,5,7,2,public,0
72,88,5.51,87,92,5,0,3,private,0
73,59,4.39,90,61,3,1,4,private,0
74,88,3.5,94,78,9,9,1,private,1
75,13,2.68,87,2,5,9,2,private,0
76,75,0.83,75,76,5,9,0,public,1
77,62,9.0,99,62,8,4,4,private,0
78,55,1.14,91,60,10,5,2,private,1
79,62,0.38,86,76,4,9,1,public,0
80,24,5.55,92,13,5,9,2,public,0
81,56,0.77,97,55,5,8,2,private,0
82,66,1.86,91,67,6,4,0,public,0
83,87,0.11,82,89,6,0,1,private,0
84,51,0.59,93,52,5,6,4,private,0
85,45,0.76,90,45,3,7,3,public,0
86,51,0.22,87,53,6,7,2,private,0
87,76,4.28,97,81,8,8,1,public,0
88,66,7.26,93,59,6,10,1,private,1
89,50,1.87,87,55,4,5,3,public,0
90,69,8.3,75,74,2,3,3,private,0
91,62,0.96,88,64,4,10,2,public,1
92,77,1.57,96,93,2,2,1,private,1
93,47,0.65,81,49,10,7,4,private,0
94,54,3.88,83,58,9,8,2,public,1
95,53,2.18,93,43,8,8,3,private,0
96,34,3.8,97,44,8,7,2,public,0
97,65,5.74,65,84,7,0,2,private,0
98,65,3.16,71,67,10,9,2,private,0
99,60,3.95,95,39,3,2,2,private,0
100,56,10.95,77,67,3,5,2,private,0
101,35,1.42,91,49,7,0,3,public,1
102,52,1.78,77,54,10,7,1,private,0
103,54,5.06,94,49,5,5,2,private,0
104,46,3.78,94,59,6,3,1,private,0
105,57,0.79,90,69,9,3,2,private,0
106,67,1.89,90,70,7,6,2,private,0
107,94,2.52,83,100,6,2,4,private,0
108,63,2.17,77,56,7,6,3,public,0
109,65,0.79,92,78,7,5,1,private,0
110,59,10.33,83,62,5,8,2,public,0
111,25,5.75,88,22,5,3,1,public,1
112,60,2.63,96,61,8,8,3,public,0
113,61,4.56,79,69,5,7,2,public,1
114,100,9.1,85,100,6,2,3,public,0
115,57,0.59,94,75,6,0,3,private,0
116,65,1.15,94,77,4,8,1,private,0
117,59,3.13,93,47,6,3,1,public,0
118,39,6.42,95,48,9,5,1,public,1
119,81,0.15,87,91,6,0,1,public,0
120,74,16.55,93,80,4,10,4,private,1
121,74,2.43,70,64,5,2,1,public,0
122,44,1.78,87,55,5,1,2,private,0
123,85,1.39,89,88,2,4,2,private,0
124,35,0.77,75,25,5,5,2,private,0
125,71,6.27,98,75,7,10,1,private,1
126,99,12.44,92,100,10,4,3,private,0
127,42,2.14,99,34,5,2,3,public,0
128,50,12.18,89,42,8,1,3,private,0
